Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2020,"$6,600",N/A,+,N/A,=,"$282,275",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2019,"$6,200",N/A,+,N/A,=,"$256,614",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2018,"$5,681",N/A,+,N/A,=,"$233,285",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2017,"$5,202",N/A,+,N/A,=,"$212,077",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2016,"$4,869",N/A,+,N/A,=,"$192,797",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2022,"$7,827",N/A,+,N/A,=,"$326,897",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2021,"$7,278","$175,000",+,"$122,179",=,"$297,179",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2020,"$6,374","$175,000",+,"$122,179",=,"$297,179",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2019,"$6,527","$175,000",+,"$145,613",=,"$320,613",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2018,"$7,098","$150,000",+,"$130,631",=,"$280,631",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2017,"$6,258","$75,000",+,"$146,960",=,"$221,960",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2016,"$5,096","$75,000",+,"$144,733",=,"$219,733",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2022,"$9,843",N/A,+,N/A,=,"$425,630",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2021,"$9,477",N/A,+,N/A,=,"$386,936",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2020,"$8,299",N/A,+,N/A,=,"$351,760",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2019,"$7,726","$46,743",+,"$273,039",=,"$319,782",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2018,"$7,079","$46,743",+,"$265,412",=,"$312,155",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2016,"$3,953","$46,743",+,N/A,=,"$46,743",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2022,"$12,799","$175,000",+,"$200,232",=,"$375,232",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2021,"$8,622","$175,000",+,"$146,500",=,"$321,500",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2020,"$6,895","$175,000",+,"$153,326",=,"$328,326",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2019,"$7,211","$175,000",+,"$176,750",=,"$351,750",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2018,"$7,787","$157,500",+,"$167,506",=,"$325,006",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2017,"$7,248","$78,750",+,"$188,445",=,"$267,195",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2016,"$6,135","$78,750",+,"$185,589",=,"$264,339",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2022,"$6,649",N/A,+,N/A,=,"$277,698",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2021,"$6,183",N/A,+,N/A,=,"$252,453",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2020,"$5,414",N/A,+,N/A,=,"$229,503",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2019,"$5,041",N/A,+,N/A,=,"$208,639",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2018,"$4,619",N/A,+,N/A,=,"$189,672",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2017,"$4,229",N/A,+,N/A,=,"$172,429",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2016,"$3,959",N/A,+,N/A,=,"$156,754",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2022,"$7,635",N/A,+,N/A,=,"$318,909",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2021,"$7,101",N/A,+,N/A,=,"$289,917",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2020,"$6,218",N/A,+,N/A,=,"$263,561",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2019,"$5,789","$125,000",+,"$174,483",=,"$299,483",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2018,"$6,630",N/A,+,N/A,=,"$217,819",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2017,"$4,857",N/A,+,N/A,=,"$198,017",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2016,"$4,546",N/A,+,N/A,=,"$180,015",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2022,"$6,925","$125,000",+,"$164,256",=,"$289,256",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2021,"$6,440","$125,000",+,"$116,400",=,"$241,400",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2020,"$5,177","$125,000",+,"$116,400",=,"$241,400",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2019,"$5,304","$125,000",+,"$110,441",=,"$235,441",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2018,"$5,212","$100,000",+,"$98,021",=,"$198,021",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2017,"$4,601","$100,000",+,"$82,321",=,"$182,321",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2016,"$4,306","$50,000",+,"$103,048",=,"$153,048",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2022,"$8,455",N/A,+,N/A,=,"$353,158",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2021,"$7,863",N/A,+,N/A,=,"$321,053",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2020,"$6,886",N/A,+,N/A,=,"$291,866",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2019,"$6,410",N/A,+,N/A,=,"$265,333",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2018,"$5,874",N/A,+,N/A,=,"$241,212",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2017,"$5,379",N/A,+,N/A,=,"$219,284",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2016,"$5,034",N/A,+,N/A,=,"$199,349",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2022,"$12,055","$125,000",+,"$107,137",=,"$232,137",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2021,"$5,168","$125,000",+,"$205,059",=,"$330,059",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2020,"$7,079","$125,000",+,"$205,059",=,"$330,059",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2019,"$7,249","$125,000",+,"$86,684",=,"$211,684",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2018,"$4,686","$33,250",+,"$155,315",=,"$188,565",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2017,"$4,205","$33,250",+,"$155,315",=,"$188,565",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2016,"$4,329","$33,250",+,"$177,384",=,"$210,634",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2022,"$4,653",N/A,+,N/A,=,"$194,358",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2021,"$4,327",N/A,+,N/A,=,"$176,689",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2020,"$3,789",N/A,+,N/A,=,"$160,626",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2019,"$3,528",N/A,+,N/A,=,"$146,024",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2018,"$3,232",N/A,+,N/A,=,"$132,749",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2017,"$2,960",N/A,+,N/A,=,"$120,681",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2016,"$2,770",N/A,+,N/A,=,"$109,710",https://www.realtor.com/realestateandhomes-detail/1714-Bissel-Ln_Austin_TX_78745_M88525-92205
2022,"$12,631","$183,750",+,"$185,850",=,"$369,600",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2021,"$8,229","$183,750",+,"$147,181",=,"$330,931",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2020,"$7,098","$183,750",+,"$147,181",=,"$330,931",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2019,"$7,268","$157,500",+,"$153,488",=,"$310,988",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2018,"$6,885","$100,000",+,"$157,554",=,"$257,554",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2017,"$5,743","$100,000",+,"$139,173",=,"$239,173",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2016,"$5,491","$55,000",+,"$161,594",=,"$216,594",https://www.realtor.com/realestateandhomes-detail/2804-Leeds-Cv_Austin_TX_78745_M75882-26461
2022,"$7,788",N/A,+,N/A,=,"$325,295",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2021,"$7,243","$125,000",+,"$182,519",=,"$307,519",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2020,"$6,595",N/A,+,N/A,=,"$287,346",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2019,"$6,311",N/A,+,N/A,=,"$261,224",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2018,"$5,783",N/A,+,N/A,=,"$237,476",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2017,"$5,296",N/A,+,N/A,=,"$215,887",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2016,"$4,956",N/A,+,N/A,=,"$196,261",https://www.realtor.com/realestateandhomes-detail/1210-Kenyon-Dr_Austin_TX_78745_M82531-69521
2022,"$8,590",N/A,+,N/A,=,"$358,794",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2021,"$7,989","$175,000",+,"$151,176",=,"$326,176",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2020,"$6,996","$175,000",+,"$151,176",=,"$326,176",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2019,"$7,164",N/A,+,N/A,=,"$302,291",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2018,"$6,692",N/A,+,N/A,=,"$274,810",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2017,"$6,128",N/A,+,N/A,=,"$249,827",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2016,"$5,736",N/A,+,N/A,=,"$227,115",https://www.realtor.com/realestateandhomes-detail/5806-Burnhill-Dr_Austin_TX_78745_M79900-84378
2022,"$9,509",N/A,+,N/A,=,"$397,144",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2021,"$8,843","$175,000",+,"$186,040",=,"$361,040",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2020,"$7,743",N/A,+,N/A,=,"$352,360",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2019,"$7,739","$150,000",+,"$170,327",=,"$320,327",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2018,"$7,091","$150,000",+,"$149,771",=,"$299,771",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2017,"$6,685",N/A,+,N/A,=,"$203,632",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2016,"$4,675",N/A,+,N/A,=,"$185,120",https://www.realtor.com/realestateandhomes-detail/2512-Cockburn-Dr_Austin_TX_78745_M85992-50624
2022,"$8,486","$131,250",+,"$223,189",=,"$354,439",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2021,"$7,892","$131,250",+,"$429,876",=,"$561,126",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2020,"$12,035",N/A,+,N/A,=,"$536,298",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2019,"$11,779",N/A,+,N/A,=,"$291,814",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2018,"$6,460",N/A,+,N/A,=,"$265,285",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2017,"$5,916",N/A,+,N/A,=,"$241,168",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2016,"$5,537",N/A,+,N/A,=,"$219,244",https://www.realtor.com/realestateandhomes-detail/1908-Bissel-Ln_Austin_TX_78745_M73745-14168
2022,"$8,414",N/A,+,N/A,=,"$351,421",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2021,"$7,824","$175,000",+,"$144,474",=,"$319,474",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2020,"$6,852","$175,000",+,"$144,474",=,"$319,474",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2019,"$7,017","$150,000",+,"$150,326",=,"$300,326",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2018,"$6,649","$150,000",+,"$132,278",=,"$282,278",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2017,"$6,295","$100,000",+,"$149,611",=,"$249,611",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2016,"$5,731",N/A,+,N/A,=,"$194,147",https://www.realtor.com/realestateandhomes-detail/6501-Krollton-Dr_Austin_TX_78745_M73438-80523
2022,"$7,755","$125,000",+,"$219,761",=,"$344,761",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2021,"$7,676","$125,000",+,"$169,480",=,"$294,480",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2020,"$6,316","$125,000",+,"$169,480",=,"$294,480",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2019,"$6,468",N/A,+,N/A,=,"$233,702",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2018,"$5,174",N/A,+,N/A,=,"$212,456",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2017,"$4,738",N/A,+,N/A,=,"$193,142",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2016,"$4,434",N/A,+,N/A,=,"$175,584",https://www.realtor.com/realestateandhomes-detail/1500-Chippeway-Ln_Austin_TX_78745_M75063-97299
2022,"$9,449","$125,000",+,"$146,320",=,"$271,320",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2021,"$6,041","$125,000",+,"$107,638",=,"$232,638",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2020,"$4,989","$125,000",+,"$107,638",=,"$232,638",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2019,"$5,109","$125,000",+,"$103,770",=,"$228,770",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2018,"$5,064","$100,000",+,"$100,013",=,"$200,013",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2017,"$4,460","$100,000",+,"$82,331",=,"$182,331",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2016,"$4,186","$50,000",+,"$95,702",=,"$145,702",https://www.realtor.com/realestateandhomes-detail/1638-Chippeway-Ln_Austin_TX_78745_M88217-73271
2022,"$7,010",N/A,+,N/A,=,"$292,774",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2021,"$6,519",N/A,+,N/A,=,"$266,158",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2020,"$5,708",N/A,+,N/A,=,"$241,962",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2019,"$5,314",N/A,+,N/A,=,"$219,965",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2018,"$4,869",N/A,+,N/A,=,"$199,968",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2017,"$4,459",N/A,+,N/A,=,"$181,789",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2016,"$4,174",N/A,+,N/A,=,"$165,263",https://www.realtor.com/realestateandhomes-detail/5800-Mojave-Dr_Austin_TX_78745_M73480-54981
2022,"$7,577",N/A,+,N/A,=,"$316,470",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2021,"$7,046","$125,000",+,"$162,700",=,"$287,700",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2020,"$6,329","$125,000",+,"$171,642",=,"$296,642",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2019,"$6,515","$125,000",+,"$164,236",=,"$289,236",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2018,"$6,403","$100,000",+,"$131,064",=,"$231,064",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2017,"$5,766","$100,000",+,"$130,528",=,"$230,528",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2016,"$5,293","$50,000",+,"$153,643",=,"$203,643",https://www.realtor.com/realestateandhomes-detail/6303-Clubway-Ln_Austin_TX_78745_M82655-04548
2022,"$7,580",N/A,+,N/A,=,"$316,587",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2021,"$7,049","$125,000",+,"$162,806",=,"$287,806",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2020,"$6,173",N/A,+,N/A,=,"$278,805",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2019,"$6,124",N/A,+,N/A,=,"$253,459",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2018,"$5,611",N/A,+,N/A,=,"$230,417",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2017,"$5,138",N/A,+,N/A,=,"$209,470",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2016,"$4,809",N/A,+,N/A,=,"$190,427",https://www.realtor.com/realestateandhomes-detail/6302-Capriola-Dr_Austin_TX_78745_M73774-20911
2022,"$12,851","$140,000",+,"$214,590",=,"$354,590",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2021,"$7,895","$175,000",+,"$157,176",=,"$332,176",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2020,"$7,124",N/A,+,N/A,=,"$313,745",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2019,"$6,891",N/A,+,N/A,=,"$285,223",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2018,"$6,314",N/A,+,N/A,=,"$259,294",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2017,"$5,782",N/A,+,N/A,=,"$235,722",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2016,"$5,412",N/A,+,N/A,=,"$214,293",https://www.realtor.com/realestateandhomes-detail/6104-Blarwood-Dr_Austin_TX_78745_M85228-18176
2022,"$7,856",N/A,+,N/A,=,"$328,118",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2021,"$7,306",N/A,+,N/A,=,"$298,289",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2020,"$6,397",N/A,+,N/A,=,"$271,172",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2019,"$5,956",N/A,+,N/A,=,"$246,520",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2018,"$5,457",N/A,+,N/A,=,"$224,109",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2017,"$4,997",N/A,+,N/A,=,"$203,735",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2016,"$4,677",N/A,+,N/A,=,"$185,214",https://www.realtor.com/realestateandhomes-detail/1212-Kenyon-Dr_Austin_TX_78745_M88646-14584
2022,"$8,531",N/A,+,N/A,=,"$356,307",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2021,"$7,933","$175,000",+,"$148,915",=,"$323,915",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2020,"$6,947","$175,000",+,"$148,915",=,"$323,915",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2019,"$7,114",N/A,+,N/A,=,"$295,666",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2018,"$6,546",N/A,+,N/A,=,"$268,787",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2017,"$5,994",N/A,+,N/A,=,"$244,352",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2016,"$5,610",N/A,+,N/A,=,"$222,138",https://www.realtor.com/realestateandhomes-detail/5903-Gateshead-Dr_Austin_TX_78745_M72207-91115
2022,"$12,226",N/A,+,N/A,=,"$524,528",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2021,"$11,679",N/A,+,N/A,=,"$431,028",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2020,"$9,244",N/A,+,N/A,=,"$405,341",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2019,"$8,903",N/A,+,N/A,=,"$364,705",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2018,"$8,074",N/A,+,N/A,=,"$340,581",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2017,"$7,595",N/A,+,N/A,=,"$299,704",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2016,"$6,881",N/A,+,N/A,=,"$175,448",https://www.realtor.com/realestateandhomes-detail/6000-Boxcar-Run_Austin_TX_78745_M70023-39200
2022,"$7,687",N/A,+,N/A,=,"$321,081",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2021,"$7,149",N/A,+,N/A,=,"$291,892",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2020,"$6,260",N/A,+,N/A,=,"$265,356",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2019,"$5,828",N/A,+,N/A,=,"$241,233",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2018,"$5,340",N/A,+,N/A,=,"$219,303",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
